"stop_id","stop_name","stop_lat","stop_lon","location_type","platform_code"
"255711","Bürstadter Straße","49.5354889","8.453335","0","C"
"255712","Bürstadter Straße","49.5350169","8.4540089","0","D"
"255811","Sandhofen Friedhof","49.5505281","8.453605","0","A"
"255812","Sandhofen Friedhof","49.5501961","8.45232","0","B"
"255911","Füllenweg","49.5621589","8.4486461","0","A"
"256001","Hanfstraße","49.5381819","8.4511969","0","A"
"256002","Hanfstraße","49.5386139","8.4509189","0","B"
"256011","Hanfstraße","49.5382581","8.4512419","0","C"
"256012","Hanfstraße","49.5383631","8.4512239","0","D"
"256111","Karl-Schweizer-Park","49.5492111","8.4485831","0","A"
"256112","Karl-Schweizer-Park","49.548855","8.4479731","0","B"
"256114","Karl-Schweizer-Park","49.5488611","8.447065","0","C"
"256211","Kirschgartshausen","49.5811911","8.4476311","0","C"
"256311","Krähenflügel","49.5513089","8.456695","0","A"
"256312","Krähenflügel","49.5514189","8.4574861","0","B"
"256421","Krappmühlstraße","49.4751831","8.4813089","0","A"
"256422","Krappmühlstraße","49.4752881","8.481165","0","B"
"256512","Sandhofer Weg","49.5586461","8.4479819","0","A"
"256611","Scharhof","49.5601661","8.4479281","0","A"
"256613","Scharhof","49.560015","8.4477389","0","C"
"256701","Sandhofen","49.542135","8.44941","0","A"
"256711","Sandhofen","49.5419419","8.4496161","0","C"
"256712","Sandhofen","49.5417789","8.4497239","0","D"
"256713","Sandhofen","49.5416569","8.449805","0","E"
"256901","Collini-Center","49.4919211","8.4761439","0","2"
"256902","Collini-Center","49.491325","8.4780931","0","1"
"256932","Collini-Center","49.4905789","8.4763411","0","B"
"257011","Blumenau","49.5614889","8.4786681","0","A"
"257111","Rastenburger Straße","49.55079","8.4683911","0","B"
"257112","Rastenburger Straße","49.5505739","8.468445","0","A"
"257211","Brockenweg","49.557195","8.4798361","0","A"
"257212","Brockenweg","49.5570081","8.4799619","0","B"
"257311","Graudenzer Linie","49.5394069","8.4810569","0","B"
"257312","Graudenzer Linie","49.5393019","8.48112","0","A"
"257411","Haderslebener Straße","49.5422861","8.4810311","0","B"
"257412","Haderslebener Straße","49.5418839","8.4810931","0","A"
"257611","Kerschensteinerschule","49.5469781","8.4794581","0","B"
"257612","Kerschensteinerschule","49.5470369","8.4797011","0","A"
