route_id,trip_id,service_id,trip_short_name,start_time,end_time
22-1-22,22-1-1-21720,295-296-297-298-299-302-303-304-305,22,06:02:00,06:21:00
22-2-22,22-2-1022-27180,295-296-297-298-299-302-303-304-305,22,07:33:00,07:52:00
22-1-22,22-1-1-28920,295-296-297-298-299-302-303-304-305,22,08:02:00,08:21:00
22-2-22,22-2-1022-34380,295-296-297-298-299-300-302-303-304-305-307,22,09:33:00,09:52:00
22-1-22,22-1-1-36120,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,10:02:00,10:21:00
22-2-22,22-2-1022-41580,295-296-297-298-299-300-302-303-304-305-307,22,11:33:00,11:52:00
22-1-22,22-1-1-43320,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,12:02:00,12:21:00
22-2-22,22-2-1022-48780,295-296-297-298-299-300-302-303-304-305-307,22,13:33:00,13:52:00
22-1-22,22-1-1-50520,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,14:02:00,14:21:00
22-2-22,22-2-1022-55980,295-296-297-298-299-300-302-303-304-305-307,22,15:33:00,15:52:00
22-1-22,22-1-1-57720,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,16:02:00,16:21:00
22-2-22,22-2-1022-63180,295-296-297-298-299-300-302-303-304-305-307,22,17:33:00,17:52:00
22-1-22,22-1-1-64920,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,18:02:00,18:21:00
22-2-22,22-2-1022-70380,295-296-297-298-299-300-302-303-304-305-307,22,19:33:00,19:52:00
22-1-22,22-1-1-72120,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,20:02:00,20:21:00
22-2-22,22-2-2022-77580,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,21:33:00,21:50:00
22-1-22,22-1-1-79320,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,22:02:00,22:21:00
22-2-22,22-2-2022-81180,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,22:33:00,22:50:00
22-1-22,22-1-1-83520,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,23:12:00,23:31:00
22-102-22,22-102-1-16920,295-296-297-298-299-302-303-304-305,22,04:42:00,04:57:00
22-1-22,22-1-1-18120,295-296-297-298-299-302-303-304-305,22,05:02:00,05:21:00
22-2-22,22-2-1022-23580,295-296-297-298-299-302-303-304-305,22,06:33:00,06:52:00
22-1-22,22-1-1-25320,295-296-297-298-299-302-303-304-305,22,07:02:00,07:21:00
22-2-22,22-2-1022-30780,295-296-297-298-299-302-303-304-305,22,08:33:00,08:52:00
22-1-22,22-1-1-32520,295-296-297-298-299-300-302-303-304-305-307,22,09:02:00,09:21:00
22-2-22,22-2-1022-37980,295-296-297-298-299-300-302-303-304-305-307,22,10:33:00,10:52:00
22-1-22,22-1-1-39720,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,11:02:00,11:21:00
22-2-22,22-2-1022-45180,295-296-297-298-299-300-302-303-304-305-307,22,12:33:00,12:52:00
22-1-22,22-1-1-46920,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,13:02:00,13:21:00
22-2-22,22-2-1022-52380,295-296-297-298-299-300-302-303-304-305-307,22,14:33:00,14:52:00
22-1-22,22-1-1-54120,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,15:02:00,15:21:00
22-2-22,22-2-1022-59580,295-296-297-298-299-300-302-303-304-305-307,22,16:33:00,16:52:00
22-1-22,22-1-1-61320,295-296-297-298-299-300-301-302-303-304-305-306-307-308,22,17:02:00,17:21:00
